,index,식당명,기존 별점,KoBERT,KoGPT-2
0,0,전생에밀가루,4.27,4.34,4.05
1,1,감자바우곤드레밥,4.29,4.03,4.06
2,2,기꾸초밥,4.42,4.06,3.96
3,3,향꽃민속주점,4.53,4.6,4.1
4,4,신촌형제갈비,4.18,3.55,3.65
5,5,최고집바지락생칼국수,4.39,4.06,4.2
6,6,연희정식당,4.43,4.39,4.29
8,8,초가집삼겹살좋아,4.31,3.44,3.35
9,9,전통남원추어탕,4.27,4.34,4.45
10,10,강수사,4.44,4.21,3.97
11,11,느티나무,4.83,4.31,4.0
12,12,거북이집한정식,4.2,3.52,3.51
13,13,홍제동닭내장,4.25,4.3,3.82
14,14,초당쌈밥,4.03,3.56,3.59
15,15,소푸리콩나물국밥,4.46,4.68,4.14
16,16,삼삼치킨,4.37,3.98,4.1
17,17,감성매인,4.79,4.41,3.82
18,18,핑크버터,4.27,3.98,4.05
20,20,만나식당,4.34,4.03,4.2
21,21,동대문엽기떡볶이서대문점,4.41,4.13,4.12
22,22,멸치국수잘하는집미정국수0410신촌점,4.33,4.0,4.23
23,23,치킨마루북가좌서부점,4.29,4.48,4.13
24,24,레몬,4.39,4.12,3.4
25,25,김덕후의차돌조,4.51,4.27,4.04
28,28,레이첼티,4.5,4.56,4.48
29,29,원조국수전문점,4.33,4.37,4.48
30,30,하니앤손스,4.43,4.65,4.47
31,31,돈불1971,4.71,4.46,4.45
33,33,한솥연희교차로점,4.4,4.23,4.1
34,34,코쿤캅,4.34,3.98,4.03
35,35,통인동커피공방신촌로스팅라이브러리,4.52,4.5,4.18
37,37,백암토종순대,4.41,4.22,4.3
38,38,본가생고기,4.46,4.6,4.37
39,39,강산애,4.27,4.09,4.03
40,40,명물갈비,4.19,4.11,4.43
41,41,여우골초밥앤참치,4.43,3.93,3.9
42,42,장호왕곱창,4.26,4.12,3.92
43,43,낙원식당,4.42,4.39,4.55
44,44,다모토리5,4.42,0.0,1.26
45,45,명물아구찜,4.43,4.45,4.29
46,46,본우리반상,4.29,3.85,3.86
47,47,불난집,4.29,4.09,4.22
48,48,예체능,4.38,3.9,4.69
49,49,별미닭곰탕,3.93,3.89,4.19
